id,run2_initial_answer,run2_initial_confidence,run2_answer,run2_confidence
Q0137,D,95.0,D,98.0
Q0138,E,99.0,E,100.0
Q0139,C,100.0,C,100.0
Q0140,D,85.0,D,95.0
Q0141,D,99.0,D,100.0
Q0142,A,95.0,A,98.0
Q0143,A,100.0,A,100.0
Q0144,B,95.0,B,98.0
Q0145,D,95.0,D,98.0
Q0146,D,100.0,D,100.0
Q0147,D,98.0,D,100.0
Q0148,D,95.0,D,98.0
Q0149,B,95.0,B,98.0
Q0150,A,95.0,A,98.0
Q0151,A,99.0,A,99.0
Q0152,E,100.0,E,100.0
Q0154,A,95.0,A,98.0
Q0155,D,99.0,D,100.0
Q0156,E,95.0,E,98.0
Q0157,B,99.0,B,100.0
Q0158,A,100.0,A,100.0
Q0160,C,95.0,C,98.0
Q0161,A,95.0,A,98.0
Q0163,D,100.0,D,100.0
Q0164,A,100.0,A,100.0
Q0165,A,100.0,A,100.0
Q0166,B,95.0,B,98.0
Q0167,B,100.0,B,100.0
Q0168,D,95.0,D,98.0
Q0169,B,95.0,B,98.0
Q0170,D,100.0,D,100.0
Q0172,D,100.0,D,100.0
Q0173,C,95.0,C,98.0
Q0174,A,100.0,A,100.0
Q0175,E,100.0,E,100.0
Q0176,D,100.0,D,100.0
Q0177,E,100.0,E,100.0
Q0178,D,95.0,D,98.0
Q0179,D,95.0,D,100.0
Q0183,B,95.0,B,98.0
Q0184,E,95.0,E,98.0
Q0185,B,95.0,B,98.0
Q0186,D,95.0,D,98.0
Q0187,C,98.0,C,99.0
Q0188,B,100.0,B,100.0
Q0189,E,95.0,E,98.0
Q0190,C,100.0,C,100.0
Q0191,A,98.0,A,99.0
Q0192,D,100.0,D,100.0
Q0193,E,100.0,E,100.0
Q0194,C,100.0,C,100.0
Q0195,C,100.0,C,100.0
Q0196,C,95.0,C,98.0
Q0197,B,75.0,B,75.0
Q0198,C,95.0,C,99.0
Q0199,E,95.0,E,98.0
Q0200,D,95.0,D,98.0
Q0201,B,99.0,B,100.0
Q0202,B,100.0,B,100.0
Q0203,C,85.0,C,85.0
Q0205,C,100.0,C,100.0
Q0206,B,100.0,B,100.0
Q0207,D,99.0,D,100.0
Q0208,A,98.0,A,99.0
Q0209,B,100.0,B,100.0
Q0210,A,95.0,A,98.0
Q0211,C,95.0,C,98.0
Q0212,B,95.0,B,98.0
Q0213,A,100.0,A,100.0
Q0214,A,95.0,A,99.0
Q0215,B,95.0,B,99.0
Q0216,A,95.0,A,95.0
Q0217,E,95.0,E,98.0
Q0218,D,95.0,D,98.0
Q0219,E,95.0,E,98.0
Q0220,A,98.0,A,100.0
Q0221,D,100.0,D,100.0
Q0222,A,95.0,A,98.0
Q0223,A,85.0,A,95.0
Q0224,A,95.0,A,98.0
Q0225,C,100.0,C,100.0
Q0226,C,100.0,C,100.0
Q0227,A,90.0,A,95.0
Q0229,A,90.0,A,95.0
Q0230,E,95.0,E,99.0
Q0231,C,100.0,C,100.0
Q0232,A,95.0,A,98.0
Q0233,D,98.0,D,99.0
Q0234,B,100.0,B,100.0
Q0235,D,95.0,D,98.0
Q0236,B,100.0,B,100.0
Q0237,A,100.0,A,100.0
Q0238,B,95.0,B,98.0
Q0239,B,95.0,B,98.0
Q0240,A,95.0,A,95.0
Q0242,B,95.0,B,98.0
Q0243,A,95.0,A,98.0
Q0244,A,85.0,A,95.0
Q0245,E,90.0,E,95.0
Q0246,D,95.0,D,98.0
Q0247,D,95.0,D,95.0
Q0248,D,98.0,D,98.0
Q0249,C,95.0,C,98.0
Q0250,B,100.0,B,100.0
Q0251,A,90.0,A,95.0
Q0252,B,95.0,B,99.0
Q0253,A,85.0,A,85.0
Q0254,D,95.0,D,98.0
Q0257,D,85.0,D,95.0
Q0258,D,95.0,D,99.0
Q0259,E,98.0,E,100.0
Q0260,D,100.0,D,100.0
Q0261,C,95.0,C,99.0
Q0262,C,95.0,C,98.0
Q0263,E,100.0,E,100.0
Q0264,D,85.0,D,95.0
Q0265,A,95.0,A,98.0
Q0266,B,90.0,E,95.0
Q0267,B,95.0,B,98.0
Q0271,C,100.0,C,100.0
Q0272,B,95.0,B,98.0
Q0273,C,100.0,C,100.0
Q0274,A,95.0,A,98.0
Q0275,A,99.0,A,100.0
Q0276,A,98.0,A,99.0
Q0277,C,95.0,C,98.0
Q0278,D,95.0,D,98.0
Q0279,A,95.0,A,98.0
Q0280,B,95.0,B,99.0
Q0281,B,95.0,B,98.0
Q0282,D,100.0,D,100.0
Q0283,A,95.0,A,95.0
Q0284,A,85.0,A,95.0
Q0285,B,95.0,B,95.0
Q0286,E,95.0,E,95.0
Q0287,D,100.0,D,100.0
Q0288,A,95.0,A,98.0
Q0289,B,95.0,B,98.0
Q0290,D,100.0,D,100.0
Q0291,B,95.0,B,95.0
Q0292,A,100.0,A,100.0
Q0293,D,95.0,D,98.0
Q0294,A,100.0,A,100.0
Q0295,A,100.0,A,100.0
Q0296,B,100.0,B,100.0
Q0297,A,95.0,A,99.0
Q0298,D,95.0,D,95.0
Q0299,A,90.0,A,95.0
Q0300,B,100.0,B,100.0
Q0302,D,95.0,D,98.0
Q0303,A,100.0,A,100.0
Q0304,E,95.0,E,98.0
Q0307,C,95.0,C,98.0
Q0308,B,95.0,B,98.0
Q0309,C,100.0,C,100.0
Q0310,D,100.0,D,100.0
Q0311,B,95.0,B,98.0
Q0312,D,95.0,D,98.0
Q0317,A,100.0,A,100.0
Q0319,C,95.0,C,95.0
Q0320,B,95.0,B,98.0
Q0321,D,95.0,D,98.0
Q0323,E,90.0,E,95.0
Q0325,A,99.0,A,99.0
Q0326,C,98.0,C,100.0
Q0327,B,98.0,B,99.0
Q0328,A,100.0,A,100.0
Q0329,B,95.0,B,98.0
Q0330,B,95.0,B,98.0
Q0331,C,95.0,C,98.0
Q0332,B,95.0,B,100.0
Q0334,E,95.0,E,98.0
Q0336,B,98.0,B,99.0
Q0337,A,95.0,A,98.0
Q0338,C,95.0,C,98.0
Q0339,A,95.0,A,98.0
Q0340,A,95.0,A,98.0
Q0341,E,85.0,E,95.0
Q0342,C,100.0,C,100.0
Q0343,D,99.0,D,99.0
Q0344,B,100.0,B,100.0
Q0346,C,95.0,C,100.0
Q0347,C,95.0,C,98.0
Q0348,A,98.0,A,99.0
Q0349,D,99.0,D,99.0
Q0350,C,95.0,C,98.0
Q0351,C,95.0,C,98.0
Q0352,A,95.0,A,98.0
Q0355,D,100.0,D,100.0
Q0356,A,95.0,A,98.0
Q0357,A,95.0,A,99.0
Q0359,B,95.0,B,99.0
Q0360,D,100.0,D,100.0
Q0361,A,98.0,A,99.0
Q0362,A,95.0,A,98.0
Q0364,D,95.0,D,99.0
Q0365,A,95.0,A,98.0
Q0366,D,100.0,D,100.0
Q0368,D,98.0,D,99.0
Q0369,D,98.0,D,100.0
Q0371,E,98.0,E,99.0
Q0372,A,100.0,A,100.0
Q0375,D,100.0,D,100.0
Q0376,B,95.0,B,98.0
Q0377,D,95.0,D,98.0
Q0378,E,95.0,E,98.0
Q0379,A,90.0,A,95.0
Q0380,D,98.0,D,99.0
Q0381,B,95.0,B,98.0
Q0382,C,90.0,C,95.0
Q0385,E,98.0,E,99.0
Q0390,D,100.0,D,100.0
Q0391,A,95.0,A,95.0
Q0392,B,95.0,B,95.0
Q0395,D,100.0,D,100.0
Q0411,C,98.0,C,100.0
Q0412,C,100.0,C,100.0
Q0446,B,98.0,B,99.0
Q0447,A,98.0,A,99.0
Q0456,D,100.0,D,100.0
Q0457,B,100.0,B,100.0
Q0494,D,95.0,D,98.0
